"","entry","floor","building","house","cert","neighborhood"
"605","D","3","Main","Cabot","Green","Quad"
"606","D","2","Main","Adams","Green","Central"
"607","A","2","Main","Dunster","Gold","East"
"608","C","1","Main","Currier","Silver","Quad"
"609","D","1","Not Main","Quincy","Silver","Central"
"610","D","2","Main","Leverett","Silver","East"
"611","C","1","Not Main","Eliot","Silver","West"
"612","E","3","Not Main","Lowell","Green","Central"
"613","C","2","Main","Dunster","Silver","East"
"614","E","1","Not Main","Pfoho","Green","Quad"
"615","A","3","Not Main","Mather","Green","East"
"616","D","1","Main","Quincy","Green","Central"
"617","A","1","Main","Mather","Green","East"
"618","B","2","Main","Dunster","Gold","East"
"619","D","2","Not Main","Kirkland","Silver","West"
"620","B","1","Main","Quincy","Green","Central"
"621","A","2","Not Main","Lowell","Green","Central"
"622","B","2","Main","Winthrop","Silver","West"
"623","A","3","Not Main","Currier","Green","Quad"
"624","D","3","Main","Winthrop","Green","West"
"625","E","1","Not Main","Kirkland","Silver","West"
"626","A","3","Main","Currier","Silver","Quad"
"627","E","2","Main","Winthrop","Silver","West"
"628","D","1","Main","Winthrop","Green","West"
"629","B","3","Not Main","Quincy","Green","Central"
"630","C","2","Main","Currier","Green","Quad"
"631","D","3","Not Main","Leverett","Gold","East"
"632","B","3","Not Main","Adams","Green","Central"
"633","B","2","Not Main","Adams","Green","Central"
"634","D","3","Main","Adams","Gold","Central"
"635","A","1","Main","Mather","Silver","East"
"636","A","3","Not Main","Winthrop","Green","West"
"637","E","3","Not Main","Leverett","Silver","East"
"638","A","3","Not Main","Quincy","Green","Central"
"639","A","2","Main","Quincy","Silver","Central"
"640","B","1","Main","Quincy","Green","Central"
"641","E","2","Main","Dunster","Green","East"
"642","A","2","Not Main","Adams","Silver","Central"
"643","C","3","Main","Eliot","Green","West"
"644","E","2","Not Main","Adams","Green","Central"
"645","B","3","Main","Leverett","Green","East"
"646","D","3","Not Main","Cabot","Green","Quad"
"647","A","3","Main","Currier","Green","Quad"
"648","A","3","Not Main","Winthrop","Green","West"
"649","C","1","Main","Dunster","Green","East"
"650","E","1","Main","Winthrop","Green","West"
"651","E","1","Not Main","Cabot","Gold","Quad"
"652","B","1","Not Main","Quincy","Gold","Central"
"653","B","3","Main","Dunster","Green","East"
"654","D","3","Not Main","Quincy","Gold","Central"
"655","E","3","Not Main","Pfoho","Green","Quad"
"656","B","3","Not Main","Currier","Green","Quad"
"657","B","2","Not Main","Eliot","Green","West"
"658","B","2","Not Main","Adams","Gold","Central"
"659","A","1","Main","Lowell","Silver","Central"
"660","D","2","Main","Lowell","Silver","Central"
"661","A","3","Main","Lowell","Gold","Central"
"662","A","1","Not Main","Cabot","Green","Quad"
"663","D","2","Main","Lowell","Green","Central"
"664","D","2","Not Main","Lowell","Green","Central"
"665","A","1","Main","Winthrop","Silver","West"
"666","E","3","Not Main","Pfoho","Green","Quad"
"667","C","1","Not Main","Currier","Gold","Quad"
"668","A","2","Main","Eliot","Green","West"
"669","D","3","Not Main","Currier","Silver","Quad"
"670","E","1","Not Main","Pfoho","Green","Quad"
"671","B","1","Not Main","Cabot","Gold","Quad"
"672","A","2","Main","Mather","Green","East"
"673","C","1","Main","Adams","Green","Central"
"674","A","1","Not Main","Leverett","Silver","East"
"675","A","1","Not Main","Adams","Green","Central"
"676","A","1","Main","Mather","Green","East"
"677","E","1","Not Main","Eliot","Green","West"
"678","C","3","Not Main","Adams","Green","Central"
"679","D","1","Main","Cabot","Green","Quad"
"680","B","1","Main","Quincy","Green","Central"
"681","E","1","Main","Dunster","Green","East"
"682","A","1","Main","Leverett","Gold","East"
"683","A","3","Not Main","Eliot","Green","West"
"684","E","3","Not Main","Kirkland","Gold","West"
"685","D","3","Main","Cabot","Green","Quad"
"686","B","1","Main","Currier","Green","Quad"
"687","A","2","Main","Leverett","Gold","East"
"688","B","3","Main","Currier","Green","Quad"
"689","A","2","Not Main","Cabot","Gold","Quad"
"690","C","2","Not Main","Winthrop","Gold","West"
"691","D","2","Not Main","Mather","Green","East"
"692","D","3","Main","Kirkland","Gold","West"
"693","A","3","Main","Leverett","Green","East"
"694","D","3","Main","Dunster","Gold","East"
"695","D","2","Not Main","Eliot","Silver","West"
"696","D","1","Main","Lowell","Gold","Central"
"697","D","3","Not Main","Winthrop","Green","West"
"698","B","1","Main","Eliot","Gold","West"
"699","D","3","Main","Currier","Gold","Quad"
"700","C","2","Main","Lowell","Silver","Central"
"701","D","1","Main","Adams","Green","Central"
"702","E","2","Main","Winthrop","Green","West"
"703","D","3","Not Main","Winthrop","Green","West"
"704","C","2","Not Main","Eliot","Silver","West"
"705","A","2","Not Main","Eliot","Green","West"
"706","A","2","Main","Cabot","Gold","Quad"
"707","D","2","Main","Winthrop","Gold","West"
"708","C","1","Main","Winthrop","Green","West"
"709","A","2","Main","Lowell","Silver","Central"
"710","A","3","Not Main","Lowell","Silver","Central"
"711","A","2","Not Main","Adams","Green","Central"
"712","C","2","Not Main","Quincy","Green","Central"
"713","E","2","Main","Currier","Silver","Quad"
"714","C","3","Not Main","Currier","Green","Quad"
"715","B","3","Not Main","Eliot","Gold","West"
"716","A","1","Main","Winthrop","Silver","West"
"717","E","2","Main","Quincy","Gold","Central"
"718","B","3","Not Main","Winthrop","Silver","West"
"719","A","3","Not Main","Mather","Green","East"
"720","E","2","Main","Winthrop","Green","West"
"721","A","2","Main","Quincy","Green","Central"
"722","C","1","Not Main","Quincy","Green","Central"
"723","A","3","Not Main","Quincy","Green","Central"
"724","B","1","Not Main","Winthrop","Green","West"
"725","C","3","Main","Cabot","Green","Quad"
"726","C","2","Main","Pfoho","Silver","Quad"
"727","B","3","Not Main","Mather","Green","East"
"728","D","3","Not Main","Kirkland","Silver","West"
"729","A","2","Not Main","Quincy","Green","Central"
"730","B","1","Main","Pfoho","Green","Quad"
"731","B","2","Not Main","Winthrop","Gold","West"
"732","A","1","Not Main","Leverett","Green","East"
"733","C","1","Not Main","Quincy","Gold","Central"
"734","C","2","Main","Mather","Green","East"
"735","E","3","Not Main","Eliot","Green","West"
"736","C","3","Not Main","Kirkland","Green","West"
"737","E","3","Not Main","Kirkland","Silver","West"
"738","B","2","Main","Cabot","Green","Quad"
"739","C","2","Main","Currier","Silver","Quad"
"740","A","1","Not Main","Currier","Green","Quad"
"741","B","3","Main","Quincy","Green","Central"
"742","E","1","Main","Leverett","Silver","East"
"743","A","3","Not Main","Leverett","Silver","East"
"744","E","3","Not Main","Leverett","Green","East"
"745","B","3","Not Main","Currier","Silver","Quad"
"746","C","2","Main","Mather","Gold","East"
"747","A","3","Main","Kirkland","Gold","West"
"748","D","2","Not Main","Adams","Gold","Central"
"749","A","2","Not Main","Kirkland","Green","West"
"750","C","3","Main","Kirkland","Gold","West"
"751","E","3","Main","Pfoho","Green","Quad"
"752","A","1","Main","Mather","Silver","East"
"753","A","2","Main","Currier","Gold","Quad"
"754","B","3","Main","Cabot","Green","Quad"
"755","B","3","Not Main","Cabot","Green","Quad"
"756","A","2","Main","Eliot","Silver","West"
"757","D","1","Main","Pfoho","Gold","Quad"
"758","B","3","Not Main","Winthrop","Gold","West"
"759","B","1","Not Main","Dunster","Green","East"
"760","A","3","Main","Dunster","Silver","East"
"761","C","2","Main","Kirkland","Green","West"
"762","A","3","Main","Quincy","Green","Central"
"763","B","2","Main","Eliot","Green","West"
"764","B","1","Not Main","Currier","Gold","Quad"
"765","C","1","Not Main","Leverett","Gold","East"
"766","E","2","Main","Currier","Green","Quad"
"767","B","2","Not Main","Quincy","Green","Central"
"768","E","2","Main","Quincy","Green","Central"
"769","B","2","Not Main","Pfoho","Gold","Quad"
"770","B","2","Main","Lowell","Green","Central"
"771","B","1","Main","Cabot","Silver","Quad"
"772","C","1","Not Main","Dunster","Silver","East"
"773","B","2","Not Main","Lowell","Green","Central"
"774","C","2","Not Main","Adams","Gold","Central"
"775","B","1","Not Main","Adams","Green","Central"
"776","B","2","Main","Dunster","Gold","East"
"777","A","1","Not Main","Leverett","Green","East"
"778","A","2","Main","Winthrop","Green","West"
"779","D","1","Not Main","Currier","Silver","Quad"
"780","A","1","Not Main","Winthrop","Green","West"
"781","C","3","Not Main","Adams","Green","Central"
"782","C","3","Main","Quincy","Silver","Central"
"783","D","2","Main","Kirkland","Silver","West"
"784","D","3","Main","Currier","Gold","Quad"
"785","A","2","Main","Dunster","Silver","East"
"786","A","2","Not Main","Mather","Gold","East"
"787","C","1","Not Main","Mather","Green","East"
"788","A","3","Main","Dunster","Gold","East"
"789","E","3","Not Main","Currier","Gold","Quad"
"790","A","2","Not Main","Winthrop","Green","West"
"791","E","1","Main","Winthrop","Silver","West"
"792","A","3","Main","Leverett","Green","East"
"793","C","1","Not Main","Pfoho","Green","Quad"
"794","A","2","Not Main","Currier","Green","Quad"
"795","C","1","Not Main","Mather","Green","East"
"796","E","2","Main","Eliot","Silver","West"
"797","D","1","Not Main","Winthrop","Green","West"
"798","A","2","Not Main","Adams","Green","Central"
"799","E","3","Not Main","Cabot","Green","Quad"
"800","A","1","Main","Mather","Green","East"
"801","E","3","Main","Winthrop","Green","West"
"802","B","3","Main","Lowell","Gold","Central"
"803","C","2","Main","Mather","Gold","East"
"804","D","2","Not Main","Dunster","Green","East"
"805","E","3","Not Main","Cabot","Gold","Quad"
"806","C","1","Main","Winthrop","Silver","West"
"807","E","1","Main","Dunster","Green","East"
"808","D","2","Main","Leverett","Green","East"
"809","D","2","Main","Mather","Silver","East"
"810","C","3","Main","Leverett","Silver","East"
"811","D","1","Not Main","Cabot","Green","Quad"
"812","B","3","Main","Currier","Green","Quad"
"813","A","2","Not Main","Adams","Gold","Central"
"814","C","2","Main","Pfoho","Green","Quad"
"815","A","3","Main","Pfoho","Green","Quad"
"816","C","3","Main","Quincy","Green","Central"
"817","D","2","Not Main","Pfoho","Green","Quad"
"818","B","3","Not Main","Adams","Silver","Central"
"819","B","2","Not Main","Leverett","Silver","East"
"820","E","3","Main","Currier","Green","Quad"
"821","C","1","Main","Lowell","Green","Central"
"822","D","1","Not Main","Mather","Gold","East"
"823","A","3","Main","Adams","Gold","Central"
"824","C","1","Not Main","Mather","Gold","East"
"825","E","3","Main","Kirkland","Gold","West"
"826","A","2","Not Main","Eliot","Silver","West"
"827","E","3","Not Main","Cabot","Green","Quad"
"828","A","3","Not Main","Winthrop","Green","West"
"829","A","3","Main","Mather","Silver","East"
"830","E","3","Main","Currier","Silver","Quad"
"831","C","1","Main","Quincy","Gold","Central"
"832","B","2","Main","Mather","Green","East"
"833","D","3","Main","Dunster","Silver","East"
"834","A","2","Main","Cabot","Green","Quad"
"835","C","3","Not Main","Mather","Green","East"
"836","A","3","Not Main","Lowell","Silver","Central"
"837","D","3","Not Main","Winthrop","Green","West"
"838","B","1","Main","Cabot","Gold","Quad"
"839","D","1","Not Main","Kirkland","Silver","West"
"840","E","3","Main","Winthrop","Gold","West"
"841","A","3","Main","Cabot","Silver","Quad"
"842","D","3","Not Main","Mather","Green","East"
"843","C","2","Not Main","Currier","Green","Quad"
"844","E","1","Main","Lowell","Silver","Central"
"845","D","2","Not Main","Leverett","Silver","East"
"846","B","3","Not Main","Leverett","Green","East"
"847","C","1","Not Main","Leverett","Gold","East"
"848","A","1","Main","Winthrop","Green","West"
"849","D","2","Not Main","Dunster","Green","East"
"850","A","2","Main","Leverett","Green","East"
"851","C","1","Main","Cabot","Silver","Quad"
"852","B","2","Not Main","Dunster","Silver","East"
"853","E","1","Main","Leverett","Gold","East"
"854","C","3","Main","Leverett","Gold","East"
"855","D","2","Not Main","Kirkland","Silver","West"
"856","E","1","Not Main","Leverett","Green","East"
"857","E","1","Main","Mather","Gold","East"
"858","E","1","Not Main","Leverett","Green","East"
"859","E","3","Main","Quincy","Gold","Central"
"860","A","3","Main","Dunster","Silver","East"
"861","D","1","Main","Currier","Green","Quad"
"862","E","1","Main","Currier","Silver","Quad"
"863","B","1","Not Main","Dunster","Green","East"
"864","C","3","Not Main","Lowell","Green","Central"
"865","A","2","Not Main","Kirkland","Silver","West"
"866","D","3","Not Main","Adams","Silver","Central"
"867","B","1","Main","Winthrop","Green","West"
"868","A","3","Not Main","Mather","Green","East"
"869","C","2","Main","Leverett","Green","East"
"870","E","3","Not Main","Leverett","Gold","East"
"871","C","3","Main","Kirkland","Gold","West"
"872","A","1","Main","Quincy","Gold","Central"
"873","B","3","Not Main","Cabot","Silver","Quad"
"874","C","3","Main","Lowell","Green","Central"
"875","B","3","Main","Currier","Silver","Quad"
"876","C","3","Main","Cabot","Green","Quad"
"877","A","2","Main","Eliot","Green","West"
"878","D","2","Not Main","Mather","Silver","East"
"879","D","1","Not Main","Currier","Silver","Quad"
"880","D","1","Main","Kirkland","Silver","West"
"881","B","1","Not Main","Mather","Gold","East"
"882","C","1","Not Main","Quincy","Gold","Central"
"883","D","1","Not Main","Cabot","Green","Quad"
"884","B","3","Not Main","Mather","Green","East"
"885","D","2","Not Main","Cabot","Silver","Quad"
"886","D","1","Not Main","Quincy","Green","Central"
"887","D","2","Main","Eliot","Green","West"
"888","B","2","Main","Dunster","Green","East"
"889","D","2","Main","Dunster","Silver","East"
"890","D","2","Main","Currier","Green","Quad"
"891","D","1","Main","Currier","Gold","Quad"
"892","E","1","Main","Cabot","Silver","Quad"
"893","C","1","Main","Currier","Gold","Quad"
"894","B","2","Main","Dunster","Gold","East"
"895","B","2","Main","Mather","Green","East"
"896","D","1","Main","Winthrop","Silver","West"
"897","E","1","Not Main","Cabot","Silver","Quad"
"898","A","3","Main","Cabot","Silver","Quad"
"899","A","2","Main","Eliot","Silver","West"
"900","E","2","Not Main","Leverett","Green","East"
"901","D","1","Not Main","Kirkland","Silver","West"
"902","E","3","Not Main","Lowell","Green","Central"
"903","E","3","Main","Leverett","Silver","East"
"904","B","3","Not Main","Quincy","Silver","Central"
"905","E","1","Main","Mather","Green","East"
"906","B","3","Not Main","Cabot","Silver","Quad"
"907","B","2","Not Main","Dunster","Green","East"
"908","C","3","Not Main","Dunster","Green","East"
"909","E","2","Not Main","Kirkland","Green","West"
"910","C","3","Main","Winthrop","Green","West"
"911","E","2","Main","Leverett","Green","East"
"912","D","2","Main","Mather","Gold","East"
"913","B","2","Main","Winthrop","Green","West"
"914","C","2","Main","Leverett","Green","East"
"915","A","2","Main","Eliot","Silver","West"
"916","E","2","Main","Dunster","Silver","East"
"917","C","1","Not Main","Eliot","Green","West"
"918","B","1","Main","Dunster","Silver","East"
"919","B","2","Main","Lowell","Gold","Central"
"920","D","3","Main","Mather","Green","East"
"921","E","3","Not Main","Cabot","Green","Quad"
"922","D","2","Not Main","Winthrop","Silver","West"
"923","E","1","Main","Cabot","Green","Quad"
"924","A","2","Main","Mather","Silver","East"
"925","C","3","Main","Eliot","Gold","West"
"926","B","3","Not Main","Dunster","Green","East"
"927","E","3","Main","Mather","Silver","East"
"928","D","2","Not Main","Dunster","Green","East"
"929","C","2","Main","Leverett","Silver","East"
"930","A","1","Not Main","Mather","Gold","East"
"931","C","1","Not Main","Leverett","Silver","East"
"932","B","3","Not Main","Pfoho","Green","Quad"
"933","E","3","Not Main","Leverett","Silver","East"
"934","C","3","Not Main","Dunster","Silver","East"
"935","A","3","Not Main","Dunster","Silver","East"
"936","D","3","Not Main","Cabot","Green","Quad"
"937","D","3","Not Main","Lowell","Green","Central"
"938","C","1","Not Main","Cabot","Green","Quad"
"939","A","3","Main","Adams","Gold","Central"
"940","D","2","Main","Dunster","Green","East"
"941","D","3","Not Main","Leverett","Gold","East"
"942","B","3","Not Main","Leverett","Green","East"
"943","A","1","Main","Currier","Silver","Quad"
"944","E","2","Not Main","Mather","Silver","East"
"945","D","2","Main","Quincy","Silver","Central"
"946","C","1","Main","Winthrop","Gold","West"
"947","E","3","Not Main","Adams","Silver","Central"
"948","A","1","Not Main","Winthrop","Silver","West"
"949","B","3","Not Main","Leverett","Silver","East"
"950","A","3","Not Main","Winthrop","Gold","West"
"951","E","1","Not Main","Currier","Green","Quad"
"952","E","2","Main","Winthrop","Green","West"
"953","A","1","Not Main","Mather","Silver","East"
"954","C","2","Main","Dunster","Gold","East"
"955","A","2","Main","Currier","Silver","Quad"
"956","D","1","Main","Dunster","Silver","East"
"957","C","2","Main","Currier","Green","Quad"
"958","C","1","Not Main","Leverett","Green","East"
"959","A","1","Main","Winthrop","Gold","West"
"960","C","3","Not Main","Pfoho","Silver","Quad"
"961","D","1","Main","Kirkland","Green","West"
"962","B","2","Not Main","Quincy","Green","Central"
"963","B","3","Main","Kirkland","Green","West"
"964","A","3","Not Main","Eliot","Gold","West"
"965","A","1","Not Main","Cabot","Silver","Quad"
"966","E","3","Not Main","Adams","Green","Central"
"967","D","3","Main","Quincy","Silver","Central"
"968","C","3","Main","Mather","Green","East"
"969","B","2","Not Main","Winthrop","Green","West"
"970","B","1","Not Main","Eliot","Green","West"
"971","E","1","Main","Mather","Green","East"
"972","C","1","Not Main","Winthrop","Green","West"
"973","E","1","Main","Mather","Silver","East"
"974","A","1","Main","Leverett","Gold","East"
"975","E","3","Main","Kirkland","Green","West"
"976","C","2","Main","Leverett","Green","East"
"977","A","3","Main","Winthrop","Silver","West"
"978","C","1","Main","Mather","Gold","East"
"979","D","2","Main","Quincy","Green","Central"
"980","A","3","Main","Eliot","Silver","West"
"981","A","3","Main","Adams","Silver","Central"
"982","D","3","Main","Winthrop","Green","West"
"983","C","1","Main","Leverett","Green","East"
"984","C","3","Main","Eliot","Silver","West"
"985","A","1","Not Main","Cabot","Green","Quad"
"986","C","3","Main","Quincy","Silver","Central"
"987","D","1","Main","Adams","Gold","Central"
"988","C","1","Main","Leverett","Green","East"
"989","D","3","Not Main","Leverett","Silver","East"
"990","E","1","Not Main","Currier","Green","Quad"
"991","C","2","Main","Quincy","Green","Central"
"992","B","3","Main","Currier","Green","Quad"
"993","A","2","Not Main","Adams","Silver","Central"
"994","B","1","Main","Currier","Green","Quad"
"995","D","3","Not Main","Lowell","Green","Central"
"996","E","3","Not Main","Currier","Gold","Quad"
"997","C","3","Main","Pfoho","Silver","Quad"
"998","C","3","Not Main","Cabot","Silver","Quad"
"999","D","2","Main","Quincy","Gold","Central"
"1000","B","1","Not Main","Winthrop","Gold","West"
"1001","A","1","Not Main","Winthrop","Green","West"
"1002","A","3","Main","Mather","Green","East"
"1003","D","2","Not Main","Quincy","Green","Central"
"1004","C","1","Main","Adams","Green","Central"
"1005","C","2","Main","Leverett","Green","East"
"1006","C","1","Not Main","Mather","Silver","East"
"1007","E","1","Not Main","Winthrop","Green","West"
"1008","E","2","Main","Cabot","Silver","Quad"
"1009","B","2","Not Main","Winthrop","Green","West"
"1010","C","3","Main","Adams","Green","Central"
"1011","D","1","Not Main","Dunster","Green","East"
"1012","B","3","Not Main","Quincy","Green","Central"
"1013","A","3","Not Main","Winthrop","Gold","West"
"1014","E","1","Not Main","Dunster","Green","East"
"1015","A","1","Main","Winthrop","Green","West"
"1016","D","2","Main","Dunster","Green","East"
"1017","E","1","Not Main","Adams","Gold","Central"
"1018","E","2","Main","Cabot","Green","Quad"
"1019","A","3","Main","Winthrop","Gold","West"
"1020","B","3","Not Main","Currier","Gold","Quad"
"1021","D","1","Not Main","Cabot","Silver","Quad"
"1022","C","3","Main","Winthrop","Green","West"
"1023","C","1","Not Main","Kirkland","Silver","West"
"1024","E","3","Not Main","Currier","Silver","Quad"
"1025","C","2","Main","Leverett","Green","East"
"1026","C","3","Not Main","Adams","Silver","Central"
"1027","B","3","Not Main","Currier","Green","Quad"
"1028","C","2","Main","Eliot","Green","West"
"1029","A","2","Main","Dunster","Green","East"
"1030","C","2","Not Main","Dunster","Green","East"
"1031","C","3","Main","Mather","Silver","East"
"1032","D","2","Main","Eliot","Green","West"
"1033","B","2","Main","Dunster","Green","East"
"1034","E","1","Main","Eliot","Silver","West"
"1035","C","1","Main","Cabot","Green","Quad"
"1036","C","3","Main","Leverett","Green","East"
"1037","E","1","Not Main","Mather","Green","East"
"1038","A","1","Not Main","Currier","Green","Quad"
"1039","C","2","Main","Leverett","Silver","East"
"1040","A","2","Main","Currier","Gold","Quad"
"1041","B","3","Not Main","Winthrop","Gold","West"
"1042","E","3","Main","Quincy","Green","Central"
"1043","C","1","Main","Eliot","Green","West"
"1044","C","3","Main","Currier","Green","Quad"
"1045","A","1","Not Main","Dunster","Green","East"
"1046","B","3","Main","Lowell","Silver","Central"
"1047","B","3","Not Main","Dunster","Green","East"
"1048","C","2","Not Main","Currier","Gold","Quad"
"1049","E","1","Main","Quincy","Green","Central"
"1050","E","2","Not Main","Winthrop","Silver","West"
"1051","E","2","Main","Lowell","Green","Central"
"1052","E","3","Main","Winthrop","Green","West"
"1053","D","2","Main","Cabot","Green","Quad"
"1054","E","3","Main","Dunster","Silver","East"
"1055","E","1","Main","Mather","Green","East"
"1056","E","1","Main","Eliot","Green","West"
"1057","D","1","Main","Adams","Silver","Central"
"1058","A","2","Main","Leverett","Green","East"
"1059","A","1","Not Main","Winthrop","Gold","West"
"1060","E","2","Main","Currier","Green","Quad"
"1061","D","3","Main","Pfoho","Gold","Quad"
"1062","A","3","Main","Dunster","Green","East"
"1063","E","1","Main","Quincy","Gold","Central"
"1064","D","1","Not Main","Kirkland","Green","West"
"1065","D","1","Main","Cabot","Green","Quad"
"1066","B","2","Not Main","Currier","Green","Quad"
"1067","E","1","Main","Quincy","Green","Central"
"1068","A","3","Main","Kirkland","Silver","West"
"1069","E","3","Not Main","Leverett","Gold","East"
"1070","E","1","Main","Pfoho","Silver","Quad"
"1071","D","3","Main","Leverett","Green","East"
"1072","D","3","Not Main","Lowell","Green","Central"
"1073","A","3","Main","Leverett","Green","East"
"1074","E","2","Not Main","Leverett","Silver","East"
"1075","C","1","Main","Eliot","Silver","West"
"1076","C","3","Not Main","Dunster","Green","East"
"1077","B","2","Not Main","Kirkland","Gold","West"
"1078","C","3","Main","Eliot","Green","West"
"1079","E","2","Not Main","Mather","Silver","East"
"1080","D","1","Main","Kirkland","Silver","West"
"1081","C","2","Main","Cabot","Green","Quad"
"1082","B","3","Not Main","Currier","Green","Quad"
"1083","D","1","Not Main","Cabot","Gold","Quad"
"1084","E","3","Main","Currier","Green","Quad"
"1085","D","3","Not Main","Currier","Green","Quad"
"1086","B","3","Not Main","Lowell","Gold","Central"
"1087","C","1","Not Main","Leverett","Green","East"
"1088","E","3","Not Main","Dunster","Silver","East"
"1089","D","2","Main","Adams","Green","Central"
"1090","D","1","Not Main","Dunster","Green","East"
"1091","E","2","Main","Dunster","Green","East"
"1092","D","3","Not Main","Kirkland","Green","West"
"1093","B","2","Main","Kirkland","Green","West"
"1094","A","1","Not Main","Eliot","Green","West"
"1095","B","2","Main","Currier","Silver","Quad"
"1096","E","3","Main","Currier","Green","Quad"
"1097","B","3","Main","Winthrop","Green","West"
"1098","E","2","Not Main","Dunster","Green","East"
"1099","C","2","Not Main","Dunster","Green","East"
"1100","E","1","Not Main","Kirkland","Green","West"
"1101","A","3","Not Main","Leverett","Green","East"
"1102","D","3","Main","Pfoho","Silver","Quad"
"1103","B","1","Main","Dunster","Silver","East"
"1104","E","3","Main","Quincy","Silver","Central"
"1105","E","2","Main","Mather","Green","East"
"1106","B","2","Main","Dunster","Green","East"
"1107","A","2","Main","Kirkland","Silver","West"
"1108","C","1","Not Main","Cabot","Gold","Quad"
"1109","B","1","Main","Winthrop","Green","West"
"1110","E","1","Not Main","Cabot","Green","Quad"
"1111","E","2","Not Main","Eliot","Green","West"
"1112","B","3","Not Main","Cabot","Green","Quad"
"1113","B","3","Not Main","Lowell","Silver","Central"
"1114","A","1","Not Main","Cabot","Green","Quad"
"1115","C","2","Not Main","Kirkland","Green","West"
"1116","A","3","Not Main","Pfoho","Green","Quad"
"1117","B","1","Not Main","Cabot","Green","Quad"
"1118","C","3","Not Main","Winthrop","Silver","West"
"1119","A","1","Main","Mather","Silver","East"
"1120","E","3","Not Main","Cabot","Green","Quad"
"1121","C","2","Not Main","Currier","Silver","Quad"
"1122","C","3","Main","Dunster","Silver","East"
"1123","A","3","Not Main","Adams","Silver","Central"
"1124","E","2","Not Main","Winthrop","Gold","West"
"1125","B","1","Not Main","Kirkland","Green","West"
"1126","A","2","Main","Winthrop","Silver","West"
"1127","A","2","Main","Eliot","Gold","West"
"1128","E","2","Main","Lowell","Silver","Central"
"1129","D","1","Main","Cabot","Green","Quad"
"1130","B","3","Not Main","Dunster","Silver","East"
"1131","D","3","Main","Leverett","Green","East"
"1132","D","2","Main","Mather","Green","East"
"1133","C","3","Not Main","Currier","Green","Quad"
"1134","A","2","Not Main","Cabot","Green","Quad"
"1135","D","2","Not Main","Adams","Gold","Central"
"1136","C","3","Main","Currier","Green","Quad"
"1137","E","1","Not Main","Cabot","Silver","Quad"
"1138","E","3","Main","Dunster","Gold","East"
"1139","B","1","Not Main","Eliot","Green","West"
"1140","E","3","Main","Quincy","Silver","Central"
"1141","D","2","Not Main","Winthrop","Silver","West"
"1142","A","1","Main","Adams","Gold","Central"
"1143","A","3","Main","Kirkland","Gold","West"
"1144","B","3","Main","Dunster","Green","East"
"1145","E","2","Main","Dunster","Silver","East"
"1146","A","1","Not Main","Currier","Silver","Quad"
"1147","A","1","Not Main","Leverett","Green","East"
"1148","C","2","Main","Leverett","Silver","East"
"1149","D","3","Main","Quincy","Gold","Central"
"1150","D","3","Not Main","Winthrop","Green","West"
"1151","D","2","Main","Winthrop","Silver","West"
"1152","A","1","Main","Eliot","Silver","West"
"1153","E","1","Main","Quincy","Silver","Central"
"1154","A","2","Main","Adams","Green","Central"
"1155","A","2","Not Main","Dunster","Silver","East"
"1156","E","1","Main","Quincy","Gold","Central"
"1157","B","3","Main","Quincy","Green","Central"
"1158","B","1","Main","Dunster","Gold","East"
"1159","C","2","Not Main","Mather","Green","East"
"1160","C","1","Main","Leverett","Gold","East"
"1161","E","3","Not Main","Kirkland","Gold","West"
"1162","C","3","Not Main","Adams","Silver","Central"
"1163","E","3","Main","Currier","Green","Quad"
"1164","D","1","Main","Dunster","Green","East"
"1165","C","2","Main","Currier","Gold","Quad"
"1166","E","3","Main","Mather","Green","East"
"1167","A","1","Main","Mather","Gold","East"
"1168","D","2","Not Main","Leverett","Green","East"
"1169","A","2","Not Main","Kirkland","Silver","West"
"1170","E","1","Main","Mather","Green","East"
"1171","E","1","Main","Adams","Silver","Central"
"1172","D","2","Not Main","Lowell","Silver","Central"
"1173","D","1","Main","Eliot","Silver","West"
"1174","C","2","Not Main","Currier","Green","Quad"
"1175","E","1","Main","Winthrop","Gold","West"
"1176","A","3","Main","Leverett","Silver","East"
"1177","B","3","Not Main","Pfoho","Green","Quad"
"1178","B","2","Main","Winthrop","Silver","West"
"1179","A","1","Main","Mather","Green","East"
"1180","B","1","Not Main","Eliot","Green","West"
"1181","E","1","Main","Winthrop","Green","West"
"1182","C","1","Main","Currier","Gold","Quad"
"1183","E","3","Main","Quincy","Silver","Central"
"1184","D","1","Main","Mather","Green","East"
"1185","B","3","Main","Winthrop","Green","West"
"1186","B","2","Main","Kirkland","Green","West"
"1187","D","1","Main","Mather","Green","East"
"1188","E","3","Main","Mather","Green","East"
"1189","B","2","Main","Cabot","Green","Quad"
"1190","B","3","Main","Eliot","Green","West"
"1191","D","1","Not Main","Leverett","Green","East"
"1192","B","1","Not Main","Adams","Green","Central"
"1193","C","1","Not Main","Kirkland","Silver","West"
"1194","B","1","Not Main","Quincy","Green","Central"
"1195","D","3","Main","Cabot","Green","Quad"
"1196","E","2","Main","Leverett","Silver","East"
"1197","C","3","Not Main","Currier","Green","Quad"
"1198","B","2","Not Main","Lowell","Green","Central"
"1199","C","3","Main","Dunster","Silver","East"
"1200","C","1","Main","Cabot","Silver","Quad"
"1201","A","3","Main","Mather","Green","East"
"1202","C","3","Main","Lowell","Green","Central"
